station,pollutant,model,feature,importance,type
Salford_Eccles,NOx,xgboost,RH,0.022948507219552994,Normet AutoML
Salford_Eccles,NOx,xgboost,sp,0.03777315095067024,Normet AutoML
Salford_Eccles,NOx,xgboost,blh_final,0.11861046403646469,Normet AutoML
Salford_Eccles,NOx,xgboost,weekday,0.08100336045026779,Normet AutoML
Salford_Eccles,NOx,xgboost,month_sin,0.05133959278464317,Normet AutoML
Salford_Eccles,NOx,xgboost,month_cos,0.02994268573820591,Normet AutoML
Salford_Eccles,NOx,xgboost,wind_u,0.0739557296037674,Normet AutoML
Salford_Eccles,NOx,xgboost,wind_v,0.08941523730754852,Normet AutoML
Salford_Eccles,NOx,xgboost,hour_sin,0.053835298866033554,Normet AutoML
Salford_Eccles,NOx,xgboost,hour_cos,0.08225885033607483,Normet AutoML
Salford_Eccles,NOx,xgboost,day_sin,0.06492619961500168,Normet AutoML
Salford_Eccles,NOx,xgboost,day_cos,0.14313599467277527,Normet AutoML
Salford_Eccles,NOx,xgboost,unix,0.046011947095394135,Normet AutoML
Salford_Eccles,PM2.5,xgboost,temp,0.05679212510585785,Random Search
Salford_Eccles,PM2.5,xgboost,RH,0.03634721785783768,Random Search
Salford_Eccles,PM2.5,xgboost,sp,0.03847727179527283,Random Search
Salford_Eccles,PM2.5,xgboost,blh_final,0.12508521974086761,Random Search
Salford_Eccles,PM2.5,xgboost,weekday,0.028768260031938553,Random Search
Salford_Eccles,PM2.5,xgboost,month_sin,0.05361714959144592,Random Search
Salford_Eccles,PM2.5,xgboost,month_cos,0.15949313342571259,Random Search
Salford_Eccles,PM2.5,xgboost,wind_u,0.07262171059846878,Random Search
Salford_Eccles,PM2.5,xgboost,wind_v,0.1171066164970398,Random Search
Salford_Eccles,PM2.5,xgboost,hour_sin,0.07634007930755615,Random Search
Salford_Eccles,PM2.5,xgboost,hour_cos,0.06295035034418106,Random Search
Salford_Eccles,PM2.5,xgboost,day_sin,0.0574311725795269,Random Search
Salford_Eccles,PM2.5,xgboost,day_cos,0.060205020010471344,Random Search
Salford_Eccles,PM2.5,xgboost,unix,0.0547645166516304,Random Search
Salford_Eccles,PM2.5,xgboost,temp,0.05085211247205734,Normet AutoML
Salford_Eccles,PM2.5,xgboost,RH,0.013790534809231758,Normet AutoML
Salford_Eccles,PM2.5,xgboost,sp,0.03548163175582886,Normet AutoML
Salford_Eccles,PM2.5,xgboost,blh_final,0.1378849446773529,Normet AutoML
Salford_Eccles,PM2.5,xgboost,weekday,0.023632217198610306,Normet AutoML
Salford_Eccles,PM2.5,xgboost,month_sin,0.03745444118976593,Normet AutoML
Salford_Eccles,PM2.5,xgboost,month_cos,0.2506788372993469,Normet AutoML
Salford_Eccles,PM2.5,xgboost,wind_u,0.0463591068983078,Normet AutoML
Salford_Eccles,PM2.5,xgboost,wind_v,0.07622663676738739,Normet AutoML
Salford_Eccles,PM2.5,xgboost,hour_sin,0.04227890074253082,Normet AutoML
Salford_Eccles,PM2.5,xgboost,hour_cos,0.03198948875069618,Normet AutoML
Salford_Eccles,PM2.5,xgboost,day_sin,0.09575469046831131,Normet AutoML
Salford_Eccles,PM2.5,xgboost,day_cos,0.07466312497854233,Normet AutoML
Salford_Eccles,PM2.5,xgboost,unix,0.08295337855815887,Normet AutoML
Salford_Glazebury,NOx,xgboost,temp,0.06368330866098404,Random Search
Salford_Glazebury,NOx,xgboost,RH,0.01850898750126362,Random Search
Salford_Glazebury,NOx,xgboost,sp,0.028676258400082588,Random Search
Salford_Glazebury,NOx,xgboost,blh_final,0.08663604408502579,Random Search
Salford_Glazebury,NOx,xgboost,weekday,0.1072041392326355,Random Search
Salford_Glazebury,NOx,xgboost,month_sin,0.04553527384996414,Random Search
Salford_Glazebury,NOx,xgboost,month_cos,0.11798126250505447,Random Search
Salford_Glazebury,NOx,xgboost,wind_u,0.038167476654052734,Random Search
Salford_Glazebury,NOx,xgboost,wind_v,0.04775736853480339,Random Search
Salford_Glazebury,NOx,xgboost,hour_sin,0.07852030545473099,Random Search
Salford_Glazebury,NOx,xgboost,hour_cos,0.15862169861793518,Random Search
Salford_Glazebury,NOx,xgboost,day_sin,0.035748373717069626,Random Search
Salford_Glazebury,NOx,xgboost,day_cos,0.1143684983253479,Random Search
Salford_Glazebury,NOx,xgboost,unix,0.05859103798866272,Random Search
Salford_Glazebury,NOx,xgboost,temp,0.08155140280723572,Normet AutoML
Salford_Glazebury,NOx,xgboost,RH,0.02132406458258629,Normet AutoML
Salford_Glazebury,NOx,xgboost,sp,0.03426116332411766,Normet AutoML
Salford_Glazebury,NOx,xgboost,blh_final,0.08911176025867462,Normet AutoML
Salford_Glazebury,NOx,xgboost,weekday,0.0870317593216896,Normet AutoML
Salford_Glazebury,NOx,xgboost,month_sin,0.036494478583335876,Normet AutoML
Salford_Glazebury,NOx,xgboost,month_cos,0.0379202701151371,Normet AutoML
Salford_Glazebury,NOx,xgboost,wind_u,0.05734816566109657,Normet AutoML
Salford_Glazebury,NOx,xgboost,wind_v,0.07727164775133133,Normet AutoML
Salford_Glazebury,NOx,xgboost,hour_sin,0.07692348212003708,Normet AutoML
Salford_Glazebury,NOx,xgboost,hour_cos,0.13779984414577484,Normet AutoML
Salford_Glazebury,NOx,xgboost,day_sin,0.05719899386167526,Normet AutoML
Salford_Glazebury,NOx,xgboost,day_cos,0.14666195213794708,Normet AutoML
Salford_Glazebury,NOx,xgboost,unix,0.059101004153490067,Normet AutoML
Salford_Glazebury,O3,xgboost,temp,0.051393166184425354,Random Search
Salford_Glazebury,O3,xgboost,RH,0.09538528323173523,Random Search
Salford_Glazebury,O3,xgboost,sp,0.013796896673738956,Random Search
Salford_Glazebury,O3,xgboost,blh_final,0.06917666643857956,Random Search
Salford_Glazebury,O3,xgboost,weekday,0.05019894987344742,Random Search
Salford_Glazebury,O3,xgboost,month_sin,0.2938358783721924,Random Search
Salford_Glazebury,O3,xgboost,month_cos,0.06542492657899857,Random Search
Salford_Glazebury,O3,xgboost,wind_u,0.044277630746364594,Random Search
Salford_Glazebury,O3,xgboost,wind_v,0.04421647638082504,Random Search
Salford_Glazebury,O3,xgboost,hour_sin,0.050735317170619965,Random Search
Salford_Glazebury,O3,xgboost,hour_cos,0.07862205058336258,Random Search
Salford_Glazebury,O3,xgboost,day_sin,0.05034900829195976,Random Search
Salford_Glazebury,O3,xgboost,day_cos,0.04946781322360039,Random Search
Salford_Glazebury,O3,xgboost,unix,0.04311990365386009,Random Search
Salford_Glazebury,O3,xgboost,temp,0.05681685730814934,Normet AutoML
Salford_Glazebury,O3,xgboost,RH,0.11798067390918732,Normet AutoML
Salford_Glazebury,O3,xgboost,sp,0.01171109452843666,Normet AutoML
Salford_Glazebury,O3,xgboost,blh_final,0.07760974764823914,Normet AutoML
Salford_Glazebury,O3,xgboost,weekday,0.02971920557320118,Normet AutoML
Salford_Glazebury,O3,xgboost,month_sin,0.39677292108535767,Normet AutoML
Salford_Glazebury,O3,xgboost,month_cos,0.0336119569838047,Normet AutoML
Salford_Glazebury,O3,xgboost,wind_u,0.04317605867981911,Normet AutoML
Salford_Glazebury,O3,xgboost,wind_v,0.048081688582897186,Normet AutoML
Salford_Glazebury,O3,xgboost,hour_sin,0.029151123017072678,Normet AutoML
Salford_Glazebury,O3,xgboost,hour_cos,0.04654290899634361,Normet AutoML
Salford_Glazebury,O3,xgboost,day_sin,0.03521885722875595,Normet AutoML
Salford_Glazebury,O3,xgboost,day_cos,0.03735619783401489,Normet AutoML
Salford_Glazebury,O3,xgboost,unix,0.03625065088272095,Normet AutoML
Bury_Whitefield,NOx,xgboost,temp,0.11541944742202759,Random Search
Bury_Whitefield,NOx,xgboost,RH,0.023700479418039322,Random Search
Bury_Whitefield,NOx,xgboost,sp,0.040778692811727524,Random Search
Bury_Whitefield,NOx,xgboost,blh_final,0.10188640654087067,Random Search
Bury_Whitefield,NOx,xgboost,weekday,0.05571749061346054,Random Search
Bury_Whitefield,NOx,xgboost,month_sin,0.04446182772517204,Random Search
Bury_Whitefield,NOx,xgboost,month_cos,0.1757376790046692,Random Search
Bury_Whitefield,NOx,xgboost,wind_u,0.04449039697647095,Random Search
Bury_Whitefield,NOx,xgboost,wind_v,0.05631197616457939,Random Search
Bury_Whitefield,NOx,xgboost,hour_sin,0.06471472233533859,Random Search
Bury_Whitefield,NOx,xgboost,hour_cos,0.10037735849618912,Random Search
Bury_Whitefield,NOx,xgboost,day_sin,0.03853759914636612,Random Search
Bury_Whitefield,NOx,xgboost,day_cos,0.08355595916509628,Random Search
Bury_Whitefield,NOx,xgboost,unix,0.05431004613637924,Random Search
Bury_Whitefield,NOx,xgboost,temp,0.10515935719013214,Normet AutoML
Bury_Whitefield,NOx,xgboost,RH,0.01979040540754795,Normet AutoML
Bury_Whitefield,NOx,xgboost,sp,0.03898186236619949,Normet AutoML
Bury_Whitefield,NOx,xgboost,blh_final,0.09240374714136124,Normet AutoML
Bury_Whitefield,NOx,xgboost,weekday,0.07641903311014175,Normet AutoML
Bury_Whitefield,NOx,xgboost,month_sin,0.057865895330905914,Normet AutoML
Bury_Whitefield,NOx,xgboost,month_cos,0.07121547311544418,Normet AutoML
Bury_Whitefield,NOx,xgboost,wind_u,0.052192531526088715,Normet AutoML
Bury_Whitefield,NOx,xgboost,wind_v,0.0733218789100647,Normet AutoML
Bury_Whitefield,NOx,xgboost,hour_sin,0.0726020336151123,Normet AutoML
Bury_Whitefield,NOx,xgboost,hour_cos,0.12292571365833282,Normet AutoML
Bury_Whitefield,NOx,xgboost,day_sin,0.05364343523979187,Normet AutoML
Bury_Whitefield,NOx,xgboost,day_cos,0.10340632498264313,Normet AutoML
Bury_Whitefield,NOx,xgboost,unix,0.06007226184010506,Normet AutoML
